Model,K,Precision,Recall,NDCG
Popularity,1,0.2083,0.0156,0.2083
Popularity,5,0.25,0.0999,0.2447
Popularity,10,0.2417,0.185,0.2531
Popularity,15,0.1944,0.2334,0.2539
Popularity,20,0.1812,0.2874,0.2695
Matrix Fact.,1,0.4167,0.0557,0.4167
Matrix Fact.,5,0.0833,0.0557,0.1489
Matrix Fact.,10,0.0417,0.0557,0.116
Matrix Fact.,15,0.0278,0.0557,0.1098
Matrix Fact.,20,0.0208,0.0557,0.1069
GraphSAGE,1,0.25,0.0146,0.25
GraphSAGE,5,0.2333,0.0895,0.245
GraphSAGE,10,0.1917,0.1366,0.2204
GraphSAGE,15,0.1944,0.2167,0.2452
GraphSAGE,20,0.175,0.2845,0.2587
LightGCN,1,0.2083,0.0146,0.2083
LightGCN,5,0.3,0.1288,0.282
LightGCN,10,0.3083,0.2445,0.309
LightGCN,15,0.275,0.3507,0.3373
LightGCN,20,0.2458,0.4086,0.3529
